Link,Date Uploaded,Price,Make,Model,Trim,Trim Level,Year,Mileage (km),Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,Date Sold,Engine Size,Horsepower
https://www.donedeal.ie/cars-for-sale/141-citron-c4-grand-picasso-exclusive-new-nct/37515606,2024-09-14,4000,Citroen,C4,Exclusive,Luxury Trim,2014,289.0,Diesel,Manual,Hatchback,,,,7.0,5,Blue,,,,,2024-09-26,1.6 L,112 hp
https://www.donedeal.ie/cars-for-sale/131-opel-zafira-7-seater-nav-top-spec-new-nct/37499329,2024-09-14,3900,Vauxhall,Zafira,---,---,2013,120700.0,Diesel,---,MPV,,,,7.0,---,Black,,,,,2024-09-19,1.7 L,
https://www.donedeal.ie/cars-for-sale/suzuki-swift-2012/37916806,2024-09-14,6950,Suzuki,Swift,GLX,Luxury Trim,2012,68000.0,Petrol,Automatic,Hatchback,,,,5.0,5,Red,,,,,2024-09-18,1.2 L,94 hp
https://www.donedeal.ie/cars-for-sale/2007-ford-mondeo/37916813,2024-09-14,1150,Ford,Mondeo,,,2007,218870.0,Petrol,Manual,Saloon,,,,5.0,4,Black,,,,,2024-09-15,1.6 L,
https://www.donedeal.ie/cars-for-sale/nissan-micra-2003/37779456,2024-09-14,1150,Nissan,Micra,,,2003,125000.0,Petrol,Manual,Hatchback,,,,5.0,5,Gold,,,,,,1.0 L,
https://www.donedeal.ie/cars-for-sale/volkswagen-passat/37861758,2024-09-14,3650,Volkswagen,Passat,,,2009,293525.0,Diesel,---,Saloon,,,,5.0,---,Grey,,,,,,2.0 L,
https://www.donedeal.ie/cars-for-sale/ford-focus-2007/37861749,2024-09-14,1950,Ford,Focus,,,2007,255670.0,Petrol,Manual,Hatchback,,,,5.0,5,Black,,,,,,1.4 L,
https://www.donedeal.ie/cars-for-sale/2014-kia-ceed-estate/37537177,2024-09-14,6000,Kia,Ceed,TX,Base Trim,2014,168980.0,Diesel,Manual,Estate,,,,5.0,5,Silver,,,,,,1.6 L,128 hp
https://www.donedeal.ie/cars-for-sale/ford-fiesta-2012-1-2-new-nct/34768235,2024-09-14,6499,Ford,Fiesta,-,Base Trim,2012,204000.0,Petrol,Manual,Hatchback,,,,5.0,4,Silver,,,,,,1.2 L,60 hp
https://www.donedeal.ie/cars-for-sale/volkswagen-golf-2012-new-nct-trendline/36521363,2024-09-14,6700,Volkswagen,Golf,TRENDLINE,Base Trim,2012,225307.0,Diesel,Manual,Hatchback,,,,5.0,5,Black,,,,,2024-09-21,1.6 L,105 hp
https://www.donedeal.ie/cars-for-sale/2010-skoda-octavia-1-6tdi-5dr-hatchback/37631594,2024-09-14,4750,Skoda,Octavia,,,2010,274714.0,Diesel,Manual,Hatchback,,,,5.0,5,Green,,,,,,1.6 L,
https://www.donedeal.ie/cars-for-sale/2011-kia-ceed-1-6crdi-5-drhatch-diesel/33711662,2024-09-14,4495,Kia,Ceed,TX,---,2011,231997.0,Diesel,Manual,Hatchback,,,,5.0,5,Silver,,,,,,1.6 L,
https://www.donedeal.ie/cars-for-sale/car/37370319,2024-09-14,2200,BMW,5-Series,,,2007,320000.0,Diesel,Automatic,Saloon,,,,5.0,4,Grey,,,,,2024-09-23,2.0 L,
https://www.donedeal.ie/cars-for-sale/2l-mk6-jetta/37895270?campaign=3,2024-09-14,7000,Volkswagen,Jetta,HIGHLINE,Luxury Trim,2012,346753.0,Diesel,Manual,Saloon,,,,5.0,4,Silver,,,,,,2.0 L,140 hp
https://www.donedeal.ie/cars-for-sale/mercedes-car/37624769?campaign=3,2024-09-14,2400,Mercedes-Benz,C-Class,,,2008,288.0,Diesel,Automatic,Saloon,,,,5.0,4,Silver,,,,,,2.1 L,
https://www.donedeal.ie/cars-for-sale/peugeot-308-1-6-hdi-automatic-nct-06-25/37910830?campaign=3,2024-09-14,2850,Peugeot,308,S,Base Trim,2011,223698.0,Diesel,Manual,Hatchback,,,,5.0,5,Grey,,,,,2024-09-24,1.6 L,92 hp
https://www.donedeal.ie/cars-for-sale/151-kia-venga-1-4-diesel-nct-2025-200-tax/37916350,2024-09-14,6950,Kia,Venga,EX,Medium Trim,2015,156105.0,Diesel,Manual,MPV,,,,5.0,5,Grey,,,,,,1.4 L,90 hp
https://www.donedeal.ie/cars-for-sale/opel-insignia-2012/37804801,2024-09-14,3000,Opel,Insignia,SC,Medium Trim,2012,291000.0,Diesel,Manual,MPV,,,,5.0,4,Blue,,,,,,2.0 L,130 hp
https://www.donedeal.ie/cars-for-sale/2009-ford-ka-new-nct-only-90k-miles/37916471,2024-09-14,1950,Ford,KA,,,2009,144840.0,Petrol,Manual,Hatchback,,,,4.0,3,Blue,,,,,2024-09-15,1.2 L,
https://www.donedeal.ie/cars-for-sale/2013-volkswagen-passat/37781766,2024-09-14,4750,Volkswagen,Passat,COMFORTLINE,Medium Trim,2013,352445.0,Diesel,Manual,Saloon,,,,5.0,4,Brown,,,,,,1.6 L,105 hp
https://www.donedeal.ie/cars-for-sale/09-r-line-passat/37916717,2024-09-14,2950,Volkswagen,Passat,,,2009,,Diesel,---,Saloon,,,,5.0,---,Grey,,,,,2024-09-27,2.0 L,
https://www.donedeal.ie/cars-for-sale/audi-a4/37905270,2024-09-14,6000,Audi,A4,SE,Medium Trim,2011,370148.0,Diesel,Manual,Saloon,,,,5.0,4,Red,,,,,,2.0 L,170 hp
https://www.donedeal.ie/cars-for-sale/2010-toyota-rav4-2-2-d4d/37867073,2024-09-14,6750,Toyota,RAV4,,,2010,212432.0,Diesel,Manual,SUV,,,,5.0,4,Silver,,,,,2024-09-23,2.2 L,
https://www.donedeal.ie/cars-for-sale/peugeot-508-2013/37242756,2024-09-14,6245,Peugeot,508,Active,Medium Trim,2013,188150.0,Diesel,Manual,Saloon,,,,5.0,4,Black,,,,,,1.6 L,115 hp
https://www.donedeal.ie/cars-for-sale/ford-fiesta-titanium-1-2-2016-nct-26/37914499,2024-09-14,6450,Ford,Fiesta,Titanium,Luxury Trim,2016,180000.0,Petrol,Manual,Hatchback,,,,5.0,4,White,,,,,2024-09-24,1.2 L,60 hp
https://www.donedeal.ie/cars-for-sale/qashqai-2011-highspec-2-0-2wd/37779330,2024-09-14,4000,Nissan,Qashqai,LE,Medium Trim,2011,235266.0,Diesel,Manual,Hatchback,,,,5.0,5,Blue,,,,,,2.0 L,150 hp
https://www.donedeal.ie/cars-for-sale/mondeo-new-nct/37916680,2024-09-14,2500,Ford,Mondeo,,,2008,290000.0,Diesel,Manual,Hatchback,,,,5.0,5,Black,,,,,,1.8 L,
https://www.donedeal.ie/cars-for-sale/volkswagen-jetta-nct-till-07-03-2025/37450552,2024-09-14,3250,Volkswagen,Jetta,TRENDLINE,Base Trim,2012,276806.0,Diesel,Manual,Saloon,,,,5.0,4,Silver,,,,,,1.6 L,105 hp
https://www.donedeal.ie/cars-for-sale/skoda-rapid-2015-1-4-tdi-trade-direct-sale/37914540,2024-09-14,4750,Skoda,Rapid,Ambition,Medium Trim,2015,180000.0,Diesel,Manual,Saloon,,,,5.0,4,White,,,,,2024-09-16,1.4 L,90 hp
https://www.donedeal.ie/cars-for-sale/fiat-500-sport-1-2/37837548,2024-09-14,5000,Audi,A6,S LINE,Sports Trim,2013,111670.0,Diesel,Manual,Saloon,,,,5.0,4,Grey,,,,,2024-09-17,2.0 L,177 hp
https://www.donedeal.ie/cars-for-sale/2011-hyundai-i30/37746789,2024-09-14,5000,Hyundai,i30,Classic,Base Trim,2011,244619.0,Diesel,Manual,Hatchback,,,,5.0,5,Grey,,,,,,1.6 L,90 hp
https://www.donedeal.ie/cars-for-sale/cars-vans-jeeps-lorrys-wanted-asap/37837535,2024-09-14,1750,Toyota,Yaris,,,2006,,Petrol,Manual,Hatchback,,,,5.0,5,Black,,,,,,1.0 L,
https://www.donedeal.ie/cars-for-sale/very-low-mileage-vw-golf-1-6tdi-comfortline/37916664,2024-09-14,6995,Volkswagen,Golf,COMFORTLINE,Medium Trim,2011,143000.0,Diesel,Manual,Hatchback,,,,5.0,5,Silver,,,,,2024-09-15,1.6 L,105 hp
https://www.donedeal.ie/cars-for-sale/vw-tiguan-2-0tdi-nctd-taxed/37861694,2024-09-14,6750,Volkswagen,Tiguan,BLUEMOTION TREND &amp; FUN,Base Trim,2012,354054.0,Diesel,Manual,SUV,,,,5.0,4,Blue,,,,,2024-09-24,2.0 L,110 hp
https://www.donedeal.ie/cars-for-sale/toyota-argo/37916627,2024-09-14,1950,Toyota,Aygo,,,2007,157000.0,Petrol,Manual,Hatchback,,,,4.0,3,Silver,,,,,2024-09-25,1.0 L,
https://www.donedeal.ie/cars-for-sale/ford-mondeo/37746740,2024-09-14,3450,Ford,Mondeo,Zetec,Medium Trim,2012,196258.0,Diesel,Manual,Saloon,,,,5.0,4,Silver,,,,,,1.6 L,116 hp
https://www.donedeal.ie/cars-for-sale/13-seat-ibiza-12-automatic-lady-owner-long-nct/37916602,2024-09-14,6695,SEAT,Ibiza,STYLE,Luxury Trim,2013,62027.0,Petrol,Automatic,Estate,,,,5.0,4,Blue,,,,,2024-09-17,1.2 L,105 hp
https://www.donedeal.ie/cars-for-sale/audi-a4-1-9-130ps-2006/37594040,2024-09-14,700,Audi,A4,,,2003,241401.0,Diesel,Manual,Saloon,,,,4.0,4,Silver,,,,,,1.9 L,
